Data as of,Start week,End Week,Group,State,Indicator,COVID Deaths,Total Deaths,Percent of Expected Deaths,Pneumonia Deaths,Pneumonia and COVID Deaths,Influenza Deaths,"Pneumonia, Influenza, and COVID Deaths",Footnote
05/05/2020,05/02/2020,05/02/2020,By week,Hawaii,Week-ending,0,31,0.14,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/01/2020,02/01/2020,By week,Idaho,Week-ending,0,249,0.88,11,0,,12,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/08/2020,02/08/2020,By week,Idaho,Week-ending,0,293,1.04,18,0,,20,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/15/2020,02/15/2020,By week,Idaho,Week-ending,0,279,0.89,11,0,,12,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/22/2020,02/22/2020,By week,Idaho,Week-ending,0,318,1.1,17,0,,21,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/29/2020,02/29/2020,By week,Idaho,Week-ending,0,289,0.99,17,0,,20,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,03/07/2020,03/07/2020,By week,Idaho,Week-ending,0,278,0.96,17,0,,20,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,03/14/2020,03/14/2020,By week,Idaho,Week-ending,0,284,1.04,18,0,,21,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,03/21/2020,03/21/2020,By week,Idaho,Week-ending,0,307,1.03,22,0,,26,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,03/28/2020,03/28/2020,By week,Idaho,Week-ending,,331,1.26,14,,,20,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,04/04/2020,04/04/2020,By week,Idaho,Week-ending,,270,0.93,15,,,22,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,04/11/2020,04/11/2020,By week,Idaho,Week-ending,19,300,1.04,17,,0,32,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,04/18/2020,04/18/2020,By week,Idaho,Week-ending,10,269,0.96,12,,0,18,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,04/25/2020,04/25/2020,By week,Idaho,Week-ending,,204,0.75,10,0,0,17,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,05/02/2020,05/02/2020,By week,Idaho,Week-ending,0,56,0.19,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/01/2020,02/01/2020,By week,Illinois,Week-ending,0,2137,0.97,155,0,16,171,
05/05/2020,02/08/2020,02/08/2020,By week,Illinois,Week-ending,0,2226,0.98,157,0,10,167,
05/05/2020,02/15/2020,02/15/2020,By week,Illinois,Week-ending,0,2217,1.01,142,0,11,153,
05/05/2020,02/22/2020,02/22/2020,By week,Illinois,Week-ending,0,2203,1,142,0,14,156,
05/05/2020,02/29/2020,02/29/2020,By week,Illinois,Week-ending,0,2207,1.04,136,0,19,155,
05/05/2020,03/07/2020,03/07/2020,By week,Illinois,Week-ending,0,2242,1.06,168,0,26,194,
05/05/2020,03/14/2020,03/14/2020,By week,Illinois,Week-ending,,2176,1.03,165,,20,185,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,03/21/2020,03/21/2020,By week,Illinois,Week-ending,13,2257,1.05,164,,22,194,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,03/28/2020,03/28/2020,By week,Illinois,Week-ending,64,2268,1.09,227,41,16,265,
05/05/2020,04/04/2020,04/04/2020,By week,Illinois,Week-ending,257,2557,1.22,336,148,,451,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,04/11/2020,04/11/2020,By week,Illinois,Week-ending,386,2717,1.31,384,213,,562,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,04/18/2020,04/18/2020,By week,Illinois,Week-ending,408,2559,1.28,391,225,,578,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,04/25/2020,04/25/2020,By week,Illinois,Week-ending,168,1986,0.99,191,90,,270,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,05/02/2020,05/02/2020,By week,Illinois,Week-ending,,602,0.3,27,,0,30,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/01/2020,02/01/2020,By week,Indiana,Week-ending,0,1365,0.99,95,0,,102,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/08/2020,02/08/2020,By week,Indiana,Week-ending,0,1353,0.95,105,0,10,115,
05/05/2020,02/15/2020,02/15/2020,By week,Indiana,Week-ending,0,1406,1.05,92,0,,101,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/22/2020,02/22/2020,By week,Indiana,Week-ending,0,1389,1.01,105,0,13,118,
05/05/2020,02/29/2020,02/29/2020,By week,Indiana,Week-ending,0,1428,1.08,105,0,17,122,
05/05/2020,03/07/2020,03/07/2020,By week,Indiana,Week-ending,0,1332,0.99,94,0,14,108,
05/05/2020,03/14/2020,03/14/2020,By week,Indiana,Week-ending,,1361,1,112,0,14,127,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,03/21/2020,03/21/2020,By week,Indiana,Week-ending,,1273,0.95,92,,13,109,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,03/28/2020,03/28/2020,By week,Indiana,Week-ending,41,1402,1.05,125,19,15,161,
05/05/2020,04/04/2020,04/04/2020,By week,Indiana,Week-ending,110,1468,1.1,213,70,,258,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,04/11/2020,04/11/2020,By week,Indiana,Week-ending,178,1450,1.09,218,101,,298,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,04/18/2020,04/18/2020,By week,Indiana,Week-ending,175,1225,0.9,172,83,0,264,
05/05/2020,04/25/2020,04/25/2020,By week,Indiana,Week-ending,70,787,0.35,97,35,,132,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,05/02/2020,05/02/2020,By week,Indiana,Week-ending,,91,0,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/01/2020,02/01/2020,By week,Iowa,Week-ending,0,612,0.97,54,0,,56,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/08/2020,02/08/2020,By week,Iowa,Week-ending,0,632,1.02,42,0,,44,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/15/2020,02/15/2020,By week,Iowa,Week-ending,0,595,0.92,36,0,,42,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/22/2020,02/22/2020,By week,Iowa,Week-ending,0,637,0.99,42,0,,48,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/29/2020,02/29/2020,By week,Iowa,Week-ending,0,637,1.05,36,0,,43,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,03/07/2020,03/07/2020,By week,Iowa,Week-ending,0,610,1.02,42,0,13,55,
05/05/2020,03/14/2020,03/14/2020,By week,Iowa,Week-ending,0,623,1.02,51,0,17,68,
05/05/2020,03/21/2020,03/21/2020,By week,Iowa,Week-ending,0,585,0.94,35,0,15,50,
05/05/2020,03/28/2020,03/28/2020,By week,Iowa,Week-ending,,582,1,50,0,,60,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,04/04/2020,04/04/2020,By week,Iowa,Week-ending,16,584,1,55,,,69,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,04/11/2020,04/11/2020,By week,Iowa,Week-ending,21,561,0.94,38,,,54,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,04/18/2020,04/18/2020,By week,Iowa,Week-ending,33,561,0.96,39,,,67,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,04/25/2020,04/25/2020,By week,Iowa,Week-ending,31,409,0.67,29,,0,54,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,05/02/2020,05/02/2020,By week,Iowa,Week-ending,,188,0.21,10,,0,12,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/01/2020,02/01/2020,By week,Kansas,Week-ending,0,546,0.98,35,0,,42,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/08/2020,02/08/2020,By week,Kansas,Week-ending,0,502,0.91,26,0,,34,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/15/2020,02/15/2020,By week,Kansas,Week-ending,0,570,1,38,0,,43,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/22/2020,02/22/2020,By week,Kansas,Week-ending,0,557,0.98,36,0,10,46,
05/05/2020,02/29/2020,02/29/2020,By week,Kansas,Week-ending,0,539,0.99,32,0,14,46,
05/05/2020,03/07/2020,03/07/2020,By week,Kansas,Week-ending,0,571,1.01,40,0,14,54,
05/05/2020,03/14/2020,03/14/2020,By week,Kansas,Week-ending,,518,0.94,45,0,,53,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,03/21/2020,03/21/2020,By week,Kansas,Week-ending,,509,0.95,27,0,15,43,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,03/28/2020,03/28/2020,By week,Kansas,Week-ending,,508,0.97,41,,,46,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,04/04/2020,04/04/2020,By week,Kansas,Week-ending,21,530,1.05,40,,0,52,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,04/11/2020,04/11/2020,By week,Kansas,Week-ending,30,490,0.96,52,12,,71,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,04/18/2020,04/18/2020,By week,Kansas,Week-ending,27,488,1,32,13,,47,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,04/25/2020,04/25/2020,By week,Kansas,Week-ending,,393,0.82,23,,0,24,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,05/02/2020,05/02/2020,By week,Kansas,Week-ending,,128,0.26,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/01/2020,02/01/2020,By week,Kentucky,Week-ending,0,968,0.98,92,0,,100,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/08/2020,02/08/2020,By week,Kentucky,Week-ending,0,943,0.94,92,0,10,102,
05/05/2020,02/15/2020,02/15/2020,By week,Kentucky,Week-ending,0,931,0.96,77,0,,86,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/22/2020,02/22/2020,By week,Kentucky,Week-ending,0,966,0.96,80,0,,85,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/29/2020,02/29/2020,By week,Kentucky,Week-ending,0,981,0.98,85,0,10,95,
05/05/2020,03/07/2020,03/07/2020,By week,Kentucky,Week-ending,0,954,0.95,75,0,,80,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,03/14/2020,03/14/2020,By week,Kentucky,Week-ending,0,953,0.99,84,0,13,97,
05/05/2020,03/21/2020,03/21/2020,By week,Kentucky,Week-ending,,868,0.91,76,,13,92,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,03/28/2020,03/28/2020,By week,Kentucky,Week-ending,,849,0.88,71,,,79,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,04/04/2020,04/04/2020,By week,Kentucky,Week-ending,38,909,0.96,99,26,,115,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,04/11/2020,04/11/2020,By week,Kentucky,Week-ending,32,798,0.84,85,20,,100,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,04/18/2020,04/18/2020,By week,Kentucky,Week-ending,36,644,0.68,58,16,0,78,
05/05/2020,04/25/2020,04/25/2020,By week,Kentucky,Week-ending,,398,0.38,31,,,34,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,05/02/2020,05/02/2020,By week,Kentucky,Week-ending,0,77,0.05,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/01/2020,02/01/2020,By week,Louisiana,Week-ending,0,960,1,41,0,,45,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/08/2020,02/08/2020,By week,Louisiana,Week-ending,0,934,0.96,35,0,,41,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/15/2020,02/15/2020,By week,Louisiana,Week-ending,0,913,0.98,40,0,,47,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/22/2020,02/22/2020,By week,Louisiana,Week-ending,0,890,0.96,33,0,,42,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/29/2020,02/29/2020,By week,Louisiana,Week-ending,0,949,1.08,43,0,11,54,
05/05/2020,03/07/2020,03/07/2020,By week,Louisiana,Week-ending,,905,1.03,44,0,,52,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,03/14/2020,03/14/2020,By week,Louisiana,Week-ending,0,888,0.97,41,0,,47,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,03/21/2020,03/21/2020,By week,Louisiana,Week-ending,32,838,0.92,65,18,,83,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,03/28/2020,03/28/2020,By week,Louisiana,Week-ending,135,1068,1.19,102,49,,192,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,04/04/2020,04/04/2020,By week,Louisiana,Week-ending,266,1113,1.22,168,110,,325,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,04/11/2020,04/11/2020,By week,Louisiana,Week-ending,283,1102,1.31,161,125,,320,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,04/18/2020,04/18/2020,By week,Louisiana,Week-ending,173,790,0.93,117,85,,205,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,04/25/2020,04/25/2020,By week,Louisiana,Week-ending,38,379,0.42,35,20,0,53,
05/05/2020,05/02/2020,05/02/2020,By week,Louisiana,Week-ending,0,71,0.08,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/01/2020,02/01/2020,By week,Maine,Week-ending,0,288,1.04,19,0,,22,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/08/2020,02/08/2020,By week,Maine,Week-ending,0,316,1.07,29,0,,35,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/15/2020,02/15/2020,By week,Maine,Week-ending,0,329,1.14,23,0,,25,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/22/2020,02/22/2020,By week,Maine,Week-ending,0,299,0.99,18,0,,19,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/29/2020,02/29/2020,By week,Maine,Week-ending,0,292,1.04,25,0,,28,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,03/07/2020,03/07/2020,By week,Maine,Week-ending,0,313,1.03,30,0,,32,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,03/14/2020,03/14/2020,By week,Maine,Week-ending,0,301,0.98,29,0,,35,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,03/21/2020,03/21/2020,By week,Maine,Week-ending,0,277,0.95,16,0,,18,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,03/28/2020,03/28/2020,By week,Maine,Week-ending,,279,0.9,31,,,33,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,04/04/2020,04/04/2020,By week,Maine,Week-ending,,300,1,35,,,41,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,04/11/2020,04/11/2020,By week,Maine,Week-ending,,303,1,31,,0,36,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,04/18/2020,04/18/2020,By week,Maine,Week-ending,,307,1.11,23,0,,33,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,04/25/2020,04/25/2020,By week,Maine,Week-ending,17,257,0.84,16,,0,30,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,05/02/2020,05/02/2020,By week,Maine,Week-ending,,118,0.42,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/01/2020,02/01/2020,By week,Maryland,Week-ending,0,1032,0.99,68,0,,76,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/08/2020,02/08/2020,By week,Maryland,Week-ending,0,1003,0.95,62,0,,71,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/15/2020,02/15/2020,By week,Maryland,Week-ending,0,1016,0.99,71,0,12,83,
05/05/2020,02/22/2020,02/22/2020,By week,Maryland,Week-ending,0,965,0.94,62,0,,69,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/29/2020,02/29/2020,By week,Maryland,Week-ending,0,1066,1.04,74,0,10,84,
05/05/2020,03/07/2020,03/07/2020,By week,Maryland,Week-ending,0,1039,1.03,79,0,11,90,
05/05/2020,03/14/2020,03/14/2020,By week,Maryland,Week-ending,0,1001,1,65,0,13,78,
05/05/2020,03/21/2020,03/21/2020,By week,Maryland,Week-ending,,1052,1.05,80,,,90,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,03/28/2020,03/28/2020,By week,Maryland,Week-ending,18,1078,1.07,101,10,10,119,
05/05/2020,04/04/2020,04/04/2020,By week,Maryland,Week-ending,91,1169,1.18,152,44,,205,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,04/11/2020,04/11/2020,By week,Maryland,Week-ending,209,1313,1.31,175,87,10,303,
05/05/2020,04/18/2020,04/18/2020,By week,Maryland,Week-ending,254,1233,1.3,186,104,,337,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,04/25/2020,04/25/2020,By week,Maryland,Week-ending,187,1074,1.15,112,55,,245,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,05/02/2020,05/02/2020,By week,Maryland,Week-ending,,408,0.38,25,,0,30,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/01/2020,02/01/2020,By week,Massachusetts,Week-ending,0,1200,0.94,104,0,14,118,
05/05/2020,02/08/2020,02/08/2020,By week,Massachusetts,Week-ending,0,1231,0.97,92,0,13,105,
05/05/2020,02/15/2020,02/15/2020,By week,Massachusetts,Week-ending,0,1246,0.95,92,0,14,106,
05/05/2020,02/22/2020,02/22/2020,By week,Massachusetts,Week-ending,0,1162,0.94,87,0,17,104,
05/05/2020,02/29/2020,02/29/2020,By week,Massachusetts,Week-ending,0,1273,1.02,100,0,21,121,
05/05/2020,03/07/2020,03/07/2020,By week,Massachusetts,Week-ending,,1210,0.98,86,0,16,103,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,03/14/2020,03/14/2020,By week,Massachusetts,Week-ending,0,1304,1.12,93,0,15,108,
05/05/2020,03/21/2020,03/21/2020,By week,Massachusetts,Week-ending,,1159,1.01,106,,11,120,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,03/28/2020,03/28/2020,By week,Massachusetts,Week-ending,40,1270,1.05,132,16,11,165,
05/05/2020,04/04/2020,04/04/2020,By week,Massachusetts,Week-ending,209,1526,1.27,250,112,11,357,
05/05/2020,04/11/2020,04/11/2020,By week,Massachusetts,Week-ending,587,1962,1.66,355,217,,727,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,04/18/2020,04/18/2020,By week,Massachusetts,Week-ending,927,2259,1.96,438,305,,1064,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,04/25/2020,04/25/2020,By week,Massachusetts,Week-ending,549,1616,1.45,300,201,0,648,
05/05/2020,05/02/2020,05/02/2020,By week,Massachusetts,Week-ending,11,431,0.35,31,,0,37,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/01/2020,02/01/2020,By week,Michigan,Week-ending,0,1998,1.02,116,0,12,128,
05/05/2020,02/08/2020,02/08/2020,By week,Michigan,Week-ending,0,1927,0.95,132,0,,140,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/15/2020,02/15/2020,By week,Michigan,Week-ending,0,2004,1.02,109,0,17,126,
05/05/2020,02/22/2020,02/22/2020,By week,Michigan,Week-ending,0,2045,1.04,130,0,27,157,
05/05/2020,02/29/2020,02/29/2020,By week,Michigan,Week-ending,0,1949,0.97,97,0,26,123,
05/05/2020,03/07/2020,03/07/2020,By week,Michigan,Week-ending,0,1948,0.98,109,0,25,134,
05/05/2020,03/14/2020,03/14/2020,By week,Michigan,Week-ending,,1910,0.97,132,,24,156,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,03/21/2020,03/21/2020,By week,Michigan,Week-ending,14,1969,1.01,129,,30,168,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,03/28/2020,03/28/2020,By week,Michigan,Week-ending,185,2317,1.19,253,89,23,372,
05/05/2020,04/04/2020,04/04/2020,By week,Michigan,Week-ending,488,2814,1.43,493,246,17,750,
05/05/2020,04/11/2020,04/11/2020,By week,Michigan,Week-ending,650,2905,1.49,530,317,,871,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,04/18/2020,04/18/2020,By week,Michigan,Week-ending,528,2435,1.29,406,256,,681,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,04/25/2020,04/25/2020,By week,Michigan,Week-ending,159,1589,0.75,166,70,,256,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,05/02/2020,05/02/2020,By week,Michigan,Week-ending,,525,0.12,40,,0,41,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/01/2020,02/01/2020,By week,Minnesota,Week-ending,0,941,1.02,76,0,,82,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/08/2020,02/08/2020,By week,Minnesota,Week-ending,0,917,0.99,60,0,,69,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/15/2020,02/15/2020,By week,Minnesota,Week-ending,0,937,1.01,50,0,,57,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/22/2020,02/22/2020,By week,Minnesota,Week-ending,0,908,1.01,63,0,13,76,
05/05/2020,02/29/2020,02/29/2020,By week,Minnesota,Week-ending,0,924,1.06,66,0,17,83,
05/05/2020,03/07/2020,03/07/2020,By week,Minnesota,Week-ending,0,934,1.06,69,0,17,86,
05/05/2020,03/14/2020,03/14/2020,By week,Minnesota,Week-ending,0,864,1.02,49,0,16,65,
05/05/2020,03/21/2020,03/21/2020,By week,Minnesota,Week-ending,,881,1.01,66,,15,81,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,03/28/2020,03/28/2020,By week,Minnesota,Week-ending,11,889,1.05,58,,,70,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,04/04/2020,04/04/2020,By week,Minnesota,Week-ending,21,894,1.04,58,,,78,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,04/11/2020,04/11/2020,By week,Minnesota,Week-ending,41,881,0.98,90,18,,114,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,04/18/2020,04/18/2020,By week,Minnesota,Week-ending,66,859,1.01,83,21,,128,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,04/25/2020,04/25/2020,By week,Minnesota,Week-ending,89,791,0.96,75,28,0,136,
05/05/2020,05/02/2020,05/02/2020,By week,Minnesota,Week-ending,,344,0.38,26,,0,28,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/01/2020,02/01/2020,By week,Mississippi,Week-ending,0,600,0.92,51,0,,53,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/08/2020,02/08/2020,By week,Mississippi,Week-ending,0,701,1.02,56,0,,62,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/15/2020,02/15/2020,By week,Mississippi,Week-ending,0,641,0.97,50,0,,54,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/22/2020,02/22/2020,By week,Mississippi,Week-ending,0,622,0.96,43,0,,48,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/29/2020,02/29/2020,By week,Mississippi,Week-ending,0,662,1.08,56,0,10,66,
05/05/2020,03/07/2020,03/07/2020,By week,Mississippi,Week-ending,0,643,1.03,55,0,,61,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,03/14/2020,03/14/2020,By week,Mississippi,Week-ending,0,610,0.96,49,0,,56,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
